key,first_temp,last_temp,active_power,reactive_power,time_heating,full_work,full_power,bulk_1,bulk_2,bulk_3,bulk_4,bulk_5,bulk_6,bulk_7,bulk_9,bulk_10,bulk_11,bulk_12,bulk_13,bulk_14,bulk_15,wire_1,wire_2,wire_3,wire_4,wire_6,wire_7,wire_8,wire_9,gas_1
2473,1621.0,1594.0,3.310642,2.505007,636.0,561.6734212809383,4.681954816561988,27.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,129.0,225.0,165.85296100000002,23.132721,0.0,0.0,0.0,0.0,0.0,0.0,30.0360471038
2474,1583.0,1586.0,0.946855,0.646601,354.0,232.81274678734746,1.3390551826007768,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,206.0,0.0,119.0,205.0,78.01248199999999,55.011837,0.0,0.0,0.0,0.0,0.0,0.0,9.925929794400002
2475,1597.0,1594.0,2.8521609999999997,2.080514,664.0,694.4143092165577,4.033564768271609,31.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,361.0,0.0,126.0,205.0,137.155197,18.096,0.0,0.0,0.0,0.0,0.0,0.0,9.6133781739
2476,1638.0,1595.0,3.1396990000000002,2.194941,476.0,495.27018311483084,4.440204907569244,0.0,0.0,245.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,127.0,154.0,88.18991899999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3165734863
2477,1624.0,1599.0,3.521133,2.494746,966.0,691.7229292855004,4.9796340435194635,0.0,0.0,170.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,0.0,249.0,103.0,144.318726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.7963581091
2478,1564.0,1594.0,4.116267,3.025799,951.0,677.3407139389939,5.821280617748813,0.0,0.0,185.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,0.0,178.0,103.0,122.08560900000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3719815433
2479,1576.0,1601.0,3.038059,2.233094,780.0,867.00250274967,4.296464241089643,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,0.0,181.0,105.0,100.158234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2481019304
2480,1556.0,1595.0,3.600131,2.852698,1016.0,720.8141380637303,5.091354086519813,0.0,0.0,146.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,0.0,149.0,103.0,83.123039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4377114318
2481,1559.0,1598.0,4.421327,3.180077,992.0,1002.0076031671912,6.252700607086349,0.0,0.0,121.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,0.0,149.0,104.0,84.215035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2208733239
2482,1569.0,1598.0,2.667037,1.986699,1009.0000000000001,1012.0844744256501,3.7717598967508525,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,413.0,0.0,246.0,103.0,102.080162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.214661526900002
2484,1635.0,1592.0,1.1042130000000001,0.7983720000000001,246.00000000000003,191.83073421016235,1.5615930003486824,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,0.0,119.0,103.0,126.060479,11.03856,0.0,0.0,0.0,0.0,0.0,0.0,3.3617150066
2485,1582.0,1616.0,3.3166130000000003,2.579571,1125.0,905.714784583633,4.690399085742918,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,510.0,0.0,209.0,104.0,147.201599,42.103359000000005,0.0,0.0,0.0,0.0,0.0,0.0,13.0504599971
2486,1589.0,1592.0,0.819979,0.6165039999999999,328.0,184.985974509402,1.159625422661128,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,0.0,98.0,104.0,35.075039000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.976477301
2487,1568.0,1583.0,5.262919,3.881666,1188.0,1047.8347637349684,7.4428914274710465,0.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,58.0,106.0,0.0,221.0,105.0,74.037598,85.413121,0.0,0.0,0.0,0.0,0.0,0.0,20.1357991943
2488,1602.0,1577.0,3.687733,2.698803,604.0,620.5876844564314,5.215242023010821,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,140.0,105.0,13.104,37.066639,0.0,0.0,0.0,0.0,0.0,0.0,28.3061533203
2489,1613.0,1579.0,0.9305460000000001,0.646865,308.0,204.4867024996802,1.3159907736120342,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,24.0,103.0,0.0,149.0,104.0,67.136162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.772627574
